id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5805,Avalanche,AVAX,avalanche,702,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,377886972.92680603,436576612.92680603,False,,11,,,,2024-04-08T11:01:00.000Z,50.69940987354474,453040211.6665608,5.9772,0.60200296,4.30673178,-2.37994618,18.04616584,43.01014134,39.44166636,19158646526.28924,0.7107,36288037671.05,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
5994,Shiba Inu,SHIB,shiba-inu,787,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,12,,,,2024-04-08T11:01:00.000Z,2.9077094025736768e-05,728053853.7132941,37.6071,-0.1225647,2.8703657,1.04890618,-15.71313998,216.7214229,210.58701494,17134823606.571638,0.6356,17141938064.28,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-04-08 13:02:51.028455
1831,Bitcoin Cash,BCH,bitcoin-cash,873,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19688818.75,19688818.75,False,,13,,,,2024-04-08T11:01:00.000Z,706.6103694999365,781103060.6644157,-7.3545,1.58867215,4.0394305,5.65477665,63.49304524,191.67501101,183.90449549,13912323491.954779,0.5161,14838817759.5,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:02:51.028455
6636,Polkadot,DOT,polkadot-new,729,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1431139126.10893,1431139126.10893,True,,14,,,,2024-04-08T11:02:00.000Z,8.987559948041243,225500445.1128012,32.912,0.22331035,3.90048754,-2.79966591,-16.3354272,29.48819054,21.28737486,12862448689.891365,0.4774,12862448689.89,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:02:51.028455
1975,Chainlink,LINK,chainlink,1713,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,15,,,,2024-04-08T11:01:00.000Z,18.63172632172023,316372988.8122727,52.1216,0.46448692,4.97220068,0.84597341,-6.0979738,-0.8408835,34.87108204,10938685972.966354,0.4058,18631726321.72,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-04-08 13:02:51.028455
1,Bitcoin,BTC,bitcoin,10960,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19676762.0,19676762.0,False,,1,,,,2024-04-08T11:02:00.000Z,72287.12999539202,30519658307.765156,53.6815,0.09265808,4.2021283,3.85333173,5.65490872,61.40033474,55.48940586,1422376652582.39,52.7832,1518029729903.23,,2024-04-08T11:02:00.000Z,,,,,,2024-04-08 13:03:01.461612
1027,Ethereum,ETH,ethereum,8744,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120070542.58459328,120070542.58459328,True,,2,,,,2024-04-08T11:01:00.000Z,3618.474956181369,14647760654.252296,62.4223,-0.00438577,6.62918953,1.97021734,-7.64355783,49.4077931,57.7416551,434472251317.4594,16.1171,434472251317.46,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
825,Tether USDt,USDT,tether,81711,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,106901267934.99915,110942615136.6704,True,,3,,,,2024-04-08T11:01:00.000Z,0.9998088566861745,58197625944.68982,40.2903,-0.01280613,-0.04261186,-0.07591307,-0.22415962,0.02290451,-0.0807321,106880834472.3939,3.9648,110921409197.57,,2024-04-08T11:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-08 13:03:01.461612
1839,BNB,BNB,bnb,2133,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149534951.0921393,149534951.0921393,False,,4,,,,2024-04-08T11:01:00.000Z,598.5838597588249,1670024967.0062213,27.0359,-0.35745224,1.75683067,2.40381566,22.51034827,89.21375132,96.9418531,89509208193.57986,3.3204,89509208193.58,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
5426,Solana,SOL,solana,649,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,445574676.9282537,573503638.080659,True,,5,,,,2024-04-08T11:01:00.000Z,183.27068043484502,2490433965.5425463,26.3995,0.04630632,1.54356769,-6.76409088,24.50986033,79.95787713,82.21989843,81660774225.17729,3.0293,105106401982.9,,2024-04-08T11:01:00.000Z,,,,,,2024-04-08 13:03:01.461612
